,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,maxregret,maxregret,curr,0.07679164456222065,1.1050859954709076,1.1050859954709076,0.9761106964389836,chebyshev
1,0,chebyshev,10,maxregret,maxregret,exp,0.07679164456222065,1.1050859954709076,1.1050859954709076,0.9761106964389836,chebyshev
2,1,chebyshev,10,maxregret,maxregret,curr,0.07679164456222065,1.1050859954709076,1.1050859954709076,0.9761106964389836,chebyshev
3,1,chebyshev,10,maxregret,maxregret,exp,0.12021919434120243,1.1645146914625528,1.1645146914625528,0.9379122016703609,chebyshev
4,2,chebyshev,10,maxregret,maxregret,curr,0.07679164456222065,1.1050859954709076,1.1050859954709076,0.9761106964389836,chebyshev
5,2,chebyshev,10,maxregret,maxregret,exp,0.1379815871125062,1.188821746441761,1.188821746441761,0.919699856160088,chebyshev
6,3,chebyshev,10,maxregret,maxregret,curr,0.07679164456222065,1.1050859954709076,1.1050859954709076,0.9761106964389836,chebyshev
7,3,chebyshev,10,maxregret,maxregret,exp,0.14695023960136266,1.201094953770463,1.201094953770463,0.9004424900419388,chebyshev
8,4,chebyshev,10,maxregret,maxregret,curr,0.022983778865673155,1.031452292701265,1.031452292701265,0.9995063569256344,chebyshev
9,4,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999183621232326,chebyshev
10,5,chebyshev,10,maxregret,maxregret,curr,0.0018767598426390197,1.0025682634803288,1.0025682634803288,0.9998181567701961,chebyshev
11,5,chebyshev,10,maxregret,maxregret,exp,0.0018767598426390197,1.0025682634803288,1.0025682634803288,0.9999780440223791,chebyshev
12,6,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
13,6,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999863959052135,chebyshev
14,7,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
15,7,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999998828879986,chebyshev
16,8,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
17,8,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999994668357876,chebyshev
18,9,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
19,9,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999991014646568,chebyshev
20,10,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
21,10,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.999998478914248,chebyshev
22,0,linear,10,maxregret,maxregret,curr,0.22093277517461707,1.3023368068717849,1.3023368068717849,0.9761106964389836,chebyshev
23,0,linear,10,maxregret,maxregret,exp,0.22093277517461707,1.3023368068717849,1.3023368068717849,0.9761106964389836,chebyshev
24,1,linear,10,maxregret,maxregret,curr,0.22093277517461707,1.3023368068717849,1.3023368068717849,0.9761106964389836,chebyshev
25,1,linear,10,maxregret,maxregret,exp,0.22093277517461707,1.3023368068717849,1.3023368068717849,0.92751245844401,chebyshev
26,2,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
27,2,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.998502911333204,chebyshev
28,3,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
29,3,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
30,4,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
31,4,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
32,5,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
33,5,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
34,6,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
35,6,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
36,7,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
37,7,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
38,8,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
39,8,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
40,9,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
41,9,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
42,10,linear,10,maxregret,maxregret,curr,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
43,10,linear,10,maxregret,maxregret,exp,0.21145751238377897,1.2893703255781477,1.2893703255781477,0.9976569077659523,chebyshev
44,0,chebyshev,10,maxregret,maxregret,curr,0.6653596333350829,2.0184708098764528,2.0184708098764528,0.8239620444720804,linear
45,0,chebyshev,10,maxregret,maxregret,exp,0.6653596333350829,2.0184708098764528,2.0184708098764528,0.8239620444720804,linear
46,1,chebyshev,10,maxregret,maxregret,curr,0.00010047138314439596,1.0001537922738828,1.0001537922738828,0.9850894681002522,linear
47,1,chebyshev,10,maxregret,maxregret,exp,0.0015360256643985881,1.0023512056097685,1.0023512056097685,0.9997907695643542,linear
48,2,chebyshev,10,maxregret,maxregret,curr,0.00010047138314439596,1.0001537922738828,1.0001537922738828,0.9850894681002522,linear
49,2,chebyshev,10,maxregret,maxregret,exp,0.0015360256643985881,1.0023512056097685,1.0023512056097685,0.9982773357585843,linear
50,3,chebyshev,10,maxregret,maxregret,curr,0.00010047138314439596,1.0001537922738828,1.0001537922738828,0.9850894681002522,linear
51,3,chebyshev,10,maxregret,maxregret,exp,2.63985472832573e-05,1.0000404084475285,1.0000404084475285,0.9859407880472696,linear
52,4,chebyshev,10,maxregret,maxregret,curr,0.00010047138314439596,1.0001537922738828,1.0001537922738828,0.9850894681002522,linear
53,4,chebyshev,10,maxregret,maxregret,exp,2.63985472832573e-05,1.0000404084475285,1.0000404084475285,0.9857901117754808,linear
54,5,chebyshev,10,maxregret,maxregret,curr,0.00010047138314439596,1.0001537922738828,1.0001537922738828,0.9850894681002522,linear
55,5,chebyshev,10,maxregret,maxregret,exp,2.63985472832573e-05,1.0000404084475285,1.0000404084475285,0.9856947017460398,linear
56,6,chebyshev,10,maxregret,maxregret,curr,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9868042710574098,linear
57,6,chebyshev,10,maxregret,maxregret,exp,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9868484973392091,linear
58,7,chebyshev,10,maxregret,maxregret,curr,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9868042710574098,linear
59,7,chebyshev,10,maxregret,maxregret,exp,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9869996601137775,linear
60,8,chebyshev,10,maxregret,maxregret,curr,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9868042710574098,linear
61,8,chebyshev,10,maxregret,maxregret,exp,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9868042710574098,linear
62,9,chebyshev,10,maxregret,maxregret,curr,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9868042710574098,linear
63,9,chebyshev,10,maxregret,maxregret,exp,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9869418047571981,linear
64,10,chebyshev,10,maxregret,maxregret,curr,9.128636227218045e-05,1.0001397326959076,1.0001397326959076,0.9868042710574098,linear
