,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,maxregret,maxregret,curr,0.14332931601597954,1.1928513096803621,1.1928513096803621,0.946138648434288,chebyshev
1,0,chebyshev,10,maxregret,maxregret,exp,0.14332931601597954,1.1928513096803621,1.1928513096803621,0.946138648434288,chebyshev
2,1,chebyshev,10,maxregret,maxregret,curr,0.14332931601597954,1.1928513096803621,1.1928513096803621,0.946138648434288,chebyshev
3,1,chebyshev,10,maxregret,maxregret,exp,0.20072356163920302,1.2700759539068163,1.2700759539068163,0.8835211097975597,chebyshev
4,2,chebyshev,10,maxregret,maxregret,curr,0.14332931601597954,1.1928513096803621,1.1928513096803621,0.946138648434288,chebyshev
5,2,chebyshev,10,maxregret,maxregret,exp,0.20072356163920302,1.2700759539068163,1.2700759539068163,0.8768576545603981,chebyshev
6,3,chebyshev,10,maxregret,maxregret,curr,0.013416162487369099,1.018051607155407,1.018051607155407,0.9998427579760973,chebyshev
7,3,chebyshev,10,maxregret,maxregret,exp,0.00858212269495584,1.0115473487738913,1.0115473487738913,0.9998271517343902,chebyshev
8,4,chebyshev,10,maxregret,maxregret,curr,0.013416162487369099,1.018051607155407,1.018051607155407,0.9998427579760973,chebyshev
9,4,chebyshev,10,maxregret,maxregret,exp,0.013416162487369099,1.018051607155407,1.018051607155407,0.9999656132851376,chebyshev
10,5,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9999822387196309,chebyshev
11,5,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999990189265924,chebyshev
12,6,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9999822387196309,chebyshev
13,6,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999698423113029,chebyshev
14,7,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9999822387196309,chebyshev
15,7,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999751570553626,chebyshev
16,8,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9999822387196309,chebyshev
17,8,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999858036637835,chebyshev
18,9,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9999822387196309,chebyshev
19,9,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999870207469942,chebyshev
20,10,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9999822387196309,chebyshev
21,10,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999801246890347,chebyshev
22,0,linear,10,maxregret,maxregret,curr,0.3015712094056755,1.4057676706507918,1.4057676706507918,0.946138648434288,chebyshev
23,0,linear,10,maxregret,maxregret,exp,0.3015712094056755,1.4057676706507918,1.4057676706507918,0.946138648434288,chebyshev
24,1,linear,10,maxregret,maxregret,curr,0.3015712094056755,1.4057676706507918,1.4057676706507918,0.946138648434288,chebyshev
25,1,linear,10,maxregret,maxregret,exp,0.3015712094056755,1.4057676706507918,1.4057676706507918,0.8786065825478117,chebyshev
