,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,maxregret,maxregret,curr,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
1,0,chebyshev,10,maxregret,maxregret,exp,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
2,1,chebyshev,10,maxregret,maxregret,curr,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
3,1,chebyshev,10,maxregret,maxregret,exp,0.5094286082252917,2.152381024041028,2.152381024041028,0.8504907782316408,chebyshev
4,2,chebyshev,10,maxregret,maxregret,curr,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
5,2,chebyshev,10,maxregret,maxregret,exp,0.4593635741447119,2.039128657937331,2.039128657937331,0.8650894597322287,chebyshev
6,3,chebyshev,10,maxregret,maxregret,curr,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
7,3,chebyshev,10,maxregret,maxregret,exp,0.36006166247384136,1.8144973027035436,1.8144973027035436,0.896547030508594,chebyshev
8,4,chebyshev,10,maxregret,maxregret,curr,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
9,4,chebyshev,10,maxregret,maxregret,exp,0.3108221904241644,1.70311244463379,1.70311244463379,0.8985692878410112,chebyshev
10,5,chebyshev,10,maxregret,maxregret,curr,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
11,5,chebyshev,10,maxregret,maxregret,exp,0.3108221904241644,1.70311244463379,1.70311244463379,0.9080397172562797,chebyshev
12,6,chebyshev,10,maxregret,maxregret,curr,0.7639401367623484,2.728112836409275,2.728112836409275,0.763001546224819,chebyshev
13,6,chebyshev,10,maxregret,maxregret,exp,0.2618551772946454,1.5923439172615101,1.5923439172615101,0.9223025773929682,chebyshev
14,7,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9827121617898358,chebyshev
15,7,chebyshev,10,maxregret,maxregret,exp,0.06868004896897045,1.1553614851701624,1.1553614851701624,0.9621624425330111,chebyshev
16,8,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9827121617898358,chebyshev
17,8,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9741811513876074,chebyshev
18,9,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9827121617898358,chebyshev
19,9,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9835362241341455,chebyshev
20,10,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9827121617898358,chebyshev
21,10,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9886775790866058,chebyshev
22,0,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
23,0,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
24,1,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
25,1,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.8621211311333127,chebyshev
26,2,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
27,2,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.8700113953810162,chebyshev
28,3,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
29,3,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9087842815744251,chebyshev
30,4,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
31,4,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
32,5,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
33,5,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
34,6,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
35,6,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
36,7,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
37,7,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
38,8,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
39,8,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
40,9,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
41,9,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
42,10,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.763001546224819,chebyshev
43,10,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.763001546224819,chebyshev
44,0,chebyshev,10,maxregret,maxregret,curr,0.6412541020597973,1.9467842199772443,1.9467842199772443,0.8290721288256764,linear
45,0,chebyshev,10,maxregret,maxregret,exp,0.6412541020597973,1.9467842199772443,1.9467842199772443,0.8290721288256764,linear
