,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,maxregret,maxregret,curr,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
1,0,chebyshev,10,maxregret,maxregret,exp,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
2,1,chebyshev,10,maxregret,maxregret,curr,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
3,1,chebyshev,10,maxregret,maxregret,exp,0.13010497938204746,1.239254668986487,1.239254668986487,0.9933816650804437,chebyshev
4,2,chebyshev,10,maxregret,maxregret,curr,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
5,2,chebyshev,10,maxregret,maxregret,exp,0.06256452986527827,1.1150521367768482,1.1150521367768482,0.9983717218744643,chebyshev
6,3,chebyshev,10,maxregret,maxregret,curr,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
7,3,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999985323821706,chebyshev
8,4,chebyshev,10,maxregret,maxregret,curr,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
9,4,chebyshev,10,maxregret,maxregret,exp,0.005593581755854005,1.010286236220951,1.010286236220951,0.9994967945643178,chebyshev
10,5,chebyshev,10,maxregret,maxregret,curr,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
11,5,chebyshev,10,maxregret,maxregret,exp,0.011224699063680954,1.020641497901997,1.020641497901997,0.9991919001100871,chebyshev
12,6,chebyshev,10,maxregret,maxregret,curr,0.2674415701872135,1.4918078051453678,1.4918078051453678,0.9718276994675079,chebyshev
13,6,chebyshev,10,maxregret,maxregret,exp,0.011224699063680954,1.020641497901997,1.020641497901997,0.9978514944897212,chebyshev
14,7,chebyshev,10,maxregret,maxregret,curr,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9294397182760477,chebyshev
15,7,chebyshev,10,maxregret,maxregret,exp,0.03413763475310261,1.0627769093975366,1.0627769093975366,0.9826965299295213,chebyshev
16,8,chebyshev,10,maxregret,maxregret,curr,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9294397182760477,chebyshev
17,8,chebyshev,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.973458448601543,chebyshev
18,9,chebyshev,10,maxregret,maxregret,curr,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9294397182760477,chebyshev
19,9,chebyshev,10,maxregret,maxregret,exp,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9629967447371435,chebyshev
20,10,chebyshev,10,maxregret,maxregret,curr,0.005593581755854005,1.010286236220951,1.010286236220951,0.9995155000894258,chebyshev
21,10,chebyshev,10,maxregret,maxregret,exp,0.005593581755854005,1.010286236220951,1.010286236220951,0.9996883705766562,chebyshev
22,0,linear,10,maxregret,maxregret,curr,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9718276994675079,chebyshev
23,0,linear,10,maxregret,maxregret,exp,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9718276994675079,chebyshev
24,1,linear,10,maxregret,maxregret,curr,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9718276994675079,chebyshev
25,1,linear,10,maxregret,maxregret,exp,0.04583700573560323,1.0842912983553088,1.0842912983553088,0.9990167426526646,chebyshev
26,2,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
27,2,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8718463706450374,chebyshev
28,3,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
29,3,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
30,4,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
31,4,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
32,5,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
33,5,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
34,6,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
35,6,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
36,7,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
37,7,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
38,8,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
39,8,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
40,9,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
41,9,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
42,10,linear,10,maxregret,maxregret,curr,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
43,10,linear,10,maxregret,maxregret,exp,0.03996646248475788,1.0734957478012639,1.0734957478012639,0.8558259230353316,chebyshev
44,0,chebyshev,10,maxregret,maxregret,curr,0.32500163679526606,1.3275794044190252,1.3275794044190252,0.8985675159864317,linear
45,0,chebyshev,10,maxregret,maxregret,exp,0.32500163679526606,1.3275794044190252,1.3275794044190252,0.8985675159864317,linear
46,1,chebyshev,10,maxregret,maxregret,curr,0.050978804991947624,1.0513831460725096,1.0513831460725096,0.9456865993048668,linear
47,1,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9855106714196913,linear
48,2,chebyshev,10,maxregret,maxregret,curr,0.050978804991947624,1.0513831460725096,1.0513831460725096,0.9456865993048668,linear
49,2,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9788492898890838,linear
50,3,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
51,3,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9814340969961914,linear
52,4,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
53,4,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9808972983766375,linear
54,5,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
55,5,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9833330472251833,linear
56,6,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
57,6,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9809634892762907,linear
58,7,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
59,7,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9805677312392624,linear
60,8,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
61,8,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9810575251403892,linear
62,9,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
63,9,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9811831365867553,linear
64,10,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.9909729538665231,linear
65,10,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9809687510123598,linear
66,0,linear,10,maxregret,maxregret,curr,0.2888828658351118,1.291174155521993,1.291174155521993,0.8985675159864317,linear
67,0,linear,10,maxregret,maxregret,exp,0.2888828658351118,1.291174155521993,1.291174155521993,0.8985675159864317,linear
68,1,linear,10,maxregret,maxregret,curr,0.050978804991947624,1.0513831460725096,1.0513831460725096,0.9757129427389002,linear
69,1,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9911958294659713,linear
70,2,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
71,2,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9996476640852221,linear
72,3,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
73,3,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9996405176591409,linear
74,4,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
75,4,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9995087219681831,linear
76,5,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
77,5,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.997385673737906,linear
78,6,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
79,6,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.997385673737906,linear
80,7,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
81,7,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.997385673737906,linear
82,8,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
83,8,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.997385673737906,linear
84,9,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
85,9,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.997385673737906,linear
86,10,linear,10,maxregret,maxregret,curr,0.0,1.0,1.0,0.997385673737906,linear
87,10,linear,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.997385673737906,linear
