,iter,learner_scalarization,K,query,label,estimator,regret,relative regret,Relative Error,Alignment Error,user_scalarization
0,0,chebyshev,10,maxregret,maxregret,curr,0.2856292637833142,1.3946254277651688,1.3946254277651688,0.8842162754908491,chebyshev
1,0,chebyshev,10,maxregret,maxregret,exp,0.2856292637833142,1.3946254277651688,1.3946254277651688,0.8842162754908491,chebyshev
2,1,chebyshev,10,maxregret,maxregret,curr,0.20863494606651867,1.2882500684548994,1.2882500684548994,0.9564870249367423,chebyshev
3,1,chebyshev,10,maxregret,maxregret,exp,0.10429576284239339,1.144095039424943,1.144095039424943,0.9890260762340792,chebyshev
4,2,chebyshev,10,maxregret,maxregret,curr,0.01830529263530023,1.025290594671182,1.025290594671182,0.9997793549501425,chebyshev
5,2,chebyshev,10,maxregret,maxregret,exp,0.04354289124902566,1.0601588641782675,1.0601588641782675,0.9997290141401084,chebyshev
6,3,chebyshev,10,maxregret,maxregret,curr,0.01830529263530023,1.025290594671182,1.025290594671182,0.9997793549501425,chebyshev
7,3,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.999999773145934,chebyshev
8,4,chebyshev,10,maxregret,maxregret,curr,0.01830529263530023,1.025290594671182,1.025290594671182,0.9997793549501425,chebyshev
9,4,chebyshev,10,maxregret,maxregret,exp,0.009129619783918463,1.012613483873611,1.012613483873611,0.9999583791382488,chebyshev
10,5,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
11,5,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999997844280363,chebyshev
12,6,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
13,6,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999999454771765,chebyshev
14,7,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
15,7,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999999801033392,chebyshev
16,8,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
17,8,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.999999860928624,chebyshev
18,9,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
19,9,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999993965524269,chebyshev
20,10,chebyshev,10,maxregret,maxregret,curr,0.0,1.0,1.0,1.0000000000000002,chebyshev
21,10,chebyshev,10,maxregret,maxregret,exp,0.0,1.0,1.0,0.9999996246625459,chebyshev
22,0,linear,10,maxregret,maxregret,curr,0.4658056770488097,1.643557183623455,1.643557183623455,0.8842162754908491,chebyshev
23,0,linear,10,maxregret,maxregret,exp,0.4658056770488097,1.643557183623455,1.643557183623455,0.8842162754908491,chebyshev
24,1,linear,10,maxregret,maxregret,curr,0.20863494606651867,1.2882500684548994,1.2882500684548994,0.9806173393760872,chebyshev
25,1,linear,10,maxregret,maxregret,exp,0.10429576284239339,1.144095039424943,1.144095039424943,0.9956298241761564,chebyshev
26,2,linear,10,maxregret,maxregret,curr,0.10429576284239339,1.144095039424943,1.144095039424943,0.9997888305225378,chebyshev
27,2,linear,10,maxregret,maxregret,exp,0.10429576284239339,1.144095039424943,1.144095039424943,0.9999960571960358,chebyshev
28,3,linear,10,maxregret,maxregret,curr,0.10429576284239339,1.144095039424943,1.144095039424943,0.9997888305225378,chebyshev
